name,slug,description,address,city,state,country,pincode,latitude,longitude,contact_number,email,website_url,specialties,operating_hours,google_rating,google_review_count,google_place_id,google_maps_url,profile_image,amenities,owner_email,is_approved,verification_status,claim_status
"Punarnawah Laser & Aesthetic Centre - Dermatology, Pigmentation Treatment and Skin Care Clinic in Jaipur",punarnawah-laser-aesthetic-centre-dermatology-pigmentation-treatment-and-skin-care-clinic-in-jaipur,,"2nd floor, Gaurav Square, Hawa Sadak Rd, Gaurav Nagar, Civil Lines, Jaipur, Rajasthan 302007, India",Jaipur,Rajasthan,India,302007,26.901694,75.7811258,+917375022555,,http://www.punarnawah.com/,"Skin care clinic, Cosmetic surgeon, Dermatologist, Facial spa, Hair replacement service, Hair transplantation clinic, Laser hair removal service, Plastic surgeon, Tattoo removal service","{""Monday"": ""10\u202fAM to 6\u202fPM"", ""Tuesday"": ""10\u202fAM to 6\u202fPM"", ""Wednesday"": ""10\u202fAM to 6\u202fPM"", ""Thursday"": ""10\u202fAM to 6\u202fPM"", ""Friday"": ""10\u202fAM to 6\u202fPM"", ""Saturday"": ""10\u202fAM to 6\u202fPM"", ""Sunday"": ""10\u202fAM to 6\u202fPM""}",4.8,615,ChIJfXhw1XO1bTkR6eNVRwrhY3I,https://www.google.com/maps/search/?api=1&query=Punarnawah%20Laser%20%26%20Aesthetic%20Centre%20-%20Dermatology%2C%20Pigmentation%20Treatment%20and%20Skin%20Care%20Clinic%20in%20Jaipur&query_place_id=ChIJfXhw1XO1bTkR6eNVRwrhY3I,https://lh3.googleusercontent.com/p/AF1QipNANHrhwBowPDq9kpe_ESwKNLswyiJ-WOTvXBbc=w408-h544-k-no,"Parking Available, Digital Payments, Appointment Required",jai.punarnawahlaseraesth.11@antidote-temp.com,false,pending,unclaimed
ENGRACE CLINICS,engrace-clinics,,"Plot No 6, Vidhayak Nagar, Next to Unique Aura Building, near Jyoti Nagar Housing Board Flats, Lalkothi, Jaipur, Rajasthan 302007, India",Jaipur,Rajasthan,India,302007,26.8926133,75.7950217,+919887728888,,http://www.engraceclinics.com/,"Hospital, Cosmetic surgeon, Dermatologist, Hair transplantation clinic, Health consultant, Medical diagnostic imaging center","{""Monday"": ""9\u202fAM to 7\u202fPM"", ""Tuesday"": ""9\u202fAM to 7\u202fPM"", ""Wednesday"": ""9\u202fAM to 7\u202fPM"", ""Thursday"": ""9\u202fAM to 7\u202fPM"", ""Friday"": ""9\u202fAM to 7\u202fPM"", ""Saturday"": ""9\u202fAM to 7\u202fPM"", ""Sunday"": ""9\u202fAM to 3\u202fPM""}",5,128,ChIJjezFuf21bTkRi53Ekjt-dS8,https://www.google.com/maps/search/?api=1&query=ENGRACE%20CLINICS&query_place_id=ChIJjezFuf21bTkRi53Ekjt-dS8,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBCHI_pFHGAjqVckw8uYFTmOWXwx5n6zPE20-r_dDMuQy9iQS8eqJ0riCfumjZ8t4pJtPc0sB39OPIUhv6VagifGkK6YRVnVN5bWYofxEbR2PpTmxNCYB3wwUwAikSoykbo35x=w408-h306-k-no,Wheelchair Accessible,jai.engraceclinics.12@antidote-temp.com,false,pending,unclaimed
Institute Of Cosmetic & Plastic Surgery,institute-of-cosmetic-plastic-surgery,,"A/4, Tilak Marg, Opposite Udyag Bhawan, C Scheme, Ashok Nagar, Jaipur, Rajasthan 302005, India",Jaipur,Rajasthan,India,302005,26.9011586,75.7973008,+919829013468,,https://www.instituteofcosmeticsurgery.in/,"Plastic surgeon, Hospital, Plastic surgery clinic, Skin care clinic",,5,61,ChIJW01B0km1bTkR0Gui-Q7Z_eM,https://www.google.com/maps/search/?api=1&query=Institute%20Of%20Cosmetic%20%26%20Plastic%20Surgery&query_place_id=ChIJW01B0km1bTkR0Gui-Q7Z_eM,https://lh3.googleusercontent.com/p/AF1QipOmNvFHHzRk5lg_Le5mxpkg5aEJdFM5xF-eDjmy=w408-h355-k-no,Wheelchair Accessible,jai.instituteofcosmeticp.13@antidote-temp.com,false,pending,unclaimed
SIYA Clinics,siya-clinics,,"Jagdish Enclave, 202, opp. Ram Mandir, Hawa Sadak, Civil Lines, Jaipur, Rajasthan 302006, India",Jaipur,Rajasthan,India,302006,26.9028678,75.7858749,+919509755950,,http://www.siyaclinics.com/,"Medical Center, Cosmetic surgeon, Diagnostic center, Hair transplantation clinic, Laser hair removal service, Orthopedic clinic, Otolaryngologist, Otolaryngology clinic, Plastic surgery clinic","{""Monday"": ""8\u202fAM to 8\u202fPM"", ""Tuesday"": ""8\u202fAM to 8\u202fPM"", ""Wednesday"": ""8\u202fAM to 8\u202fPM"", ""Thursday"": ""8\u202fAM to 8\u202fPM"", ""Friday"": ""8\u202fAM to 8\u202fPM"", ""Saturday"": ""8\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",5,70,ChIJ-whgDia1bTkRLTpSFUablts,https://www.google.com/maps/search/?api=1&query=SIYA%20Clinics&query_place_id=ChIJ-whgDia1bTkRLTpSFUablts,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noj4MEG4iZUAKvqo5mRSArlFNOjX-IY7XQPxqslgQ9DdBF8smETsusswsJ1gePEmA_vHd-xSo5AqBDgEhRjHWyMvX4dMZh80yPhV2C84Ur95XzO8zJMPmFcoyYP80ji1-RD_OAX3Q=w408-h306-k-no,Wheelchair Accessible,jai.siyaclinics.14@antidote-temp.com,false,pending,unclaimed
Dr. Akhil Agarwal,dr-akhil-agarwal,,"plot no 6, Sahakar Marg, Vidhayak Nagar, Lalkothi, Jaipur, Rajasthan 302005, India",Jaipur,Rajasthan,India,302005,26.8921754,75.7948245,+917728026044,,,"Hospital, Dermatologist","{""Monday"": ""10\u202fAM to 6:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 6:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 6:30\u202fPM"", ""Thursday"": ""10\u202fAM to 6:30\u202fPM"", ""Friday"": ""10\u202fAM to 6:30\u202fPM"", ""Saturday"": ""10\u202fAM to 6:30\u202fPM"", ""Sunday"": ""10\u202fAM to 3\u202fPM""}",4.8,25,ChIJX3Q_V9uzbTkR4Y1UiG8u3og,https://www.google.com/maps/search/?api=1&query=Dr.%20Akhil%20Agarwal&query_place_id=ChIJX3Q_V9uzbTkR4Y1UiG8u3og,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3VUyhgbL30QnlKUO5Z-x-A&cb_client=search.gws-prod.gps&w=408&h=240&yaw=134.74547&pitch=0&thumbfov=100,,jai.drakhilagarwal.15@antidote-temp.com,false,pending,unclaimed
Dr Akhilesh Sharma,dr-akhilesh-sharma,,"ABHISHEK HOSPITAL, Moti Doongri Rd, near ARG MURLI HEIGHT, Jaipur, Rajasthan 302004, India",Jaipur,Rajasthan,India,302004,26.8986134,75.8190444,+919829013567,,https://abhishek-hospital.com/,Plastic surgeon,"{""Monday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Friday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 2\u202fPM, 4 to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM""}",4.8,378,ChIJAQAAwMa2bTkRmy79SId3n_c,https://www.google.com/maps/search/?api=1&query=Dr%20Akhilesh%20Sharma&query_place_id=ChIJAQAAwMa2bTkRmy79SId3n_c,https://lh3.googleusercontent.com/p/AF1QipNKFY8zp8alyJQUFnogrKyq8CLcC9YGdNiTmP7Z=w426-h240-k-no,,jai.drakhileshsharma.16@antidote-temp.com,false,pending,unclaimed
Laser & Cosmetic Surgery Centre,laser-cosmetic-surgery-centre,,"3-b-III, Moti Doongi Circle, Near Ganesh Mandir, Jawahar Nagar, Jawahar Nagar, Jaipur, Rajasthan 302004, India",Jaipur,Rajasthan,India,302004,26.8863707,75.8315724,+911412600855,,,Plastic surgeon,,,0,ChIJq6qqOtO1bTkRYp5yCfatgF8,https://www.google.com/maps/search/?api=1&query=Laser%20%26%20Cosmetic%20Surgery%20Centre&query_place_id=ChIJq6qqOtO1bTkRYp5yCfatgF8,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Golc7yQPr8nZ0rcbfSU9Fw&cb_client=search.gws-prod.gps&w=408&h=240&yaw=228.36821&pitch=0&thumbfov=100,,jai.lasercosmeticsurgery.17@antidote-temp.com,false,pending,unclaimed
SMILEKRAFT DENTAL FACE & HAIR CLINIC,smilekraft-dental-face-hair-clinic,,"H 58 A, Jhakoreshwar Marg, opposite to MAXWELL HOSPITAL, near KHANDAKA HOUSE, Bani Park, Jaipur, Rajasthan 302016, India",Jaipur,Rajasthan,India,302016,26.933633,75.7947761,+916377729377,,,Dental clinic,"{""Monday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Tuesday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Wednesday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Thursday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Friday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Saturday"": ""10\u202fAM to 2\u202fPM, 5:30 to 7:30\u202fPM"", ""Sunday"": ""Closed""}",5,49,ChIJO9J1he-zbTkRCr2zjpj9vQM,https://www.google.com/maps/search/?api=1&query=SMILEKRAFT%20DENTAL%20FACE%20%26%20HAIR%20CLINIC&query_place_id=ChIJO9J1he-zbTkRCr2zjpj9vQM,https://lh3.googleusercontent.com/p/AF1QipOVrppQxp4U35rxFm5GvvNAYCBpAnIwgDQgeaxJ=w408-h408-k-no,Digital Payments,jai.smilekraftdentalface.18@antidote-temp.com,false,pending,unclaimed
"AK Skin, Hair, Cosmetic & Endovascular Clinic",ak-skin-hair-cosmetic-endovascular-clinic,,"A-4, near Goyal hospital, adjacent to hotel raghuraj, Hazi Colony, Shastri Nagar, Jaipur, Rajasthan 302016, India",Jaipur,Rajasthan,India,302016,26.9375502,75.8000613,,,,Skin care clinic,"{""Monday"": ""10\u202fAM to 8\u202fPM"", ""Tuesday"": ""10\u202fAM to 8\u202fPM"", ""Wednesday"": ""10\u202fAM to 8\u202fPM"", ""Thursday"": ""10\u202fAM to 8\u202fPM"", ""Friday"": ""10\u202fAM to 8\u202fPM"", ""Saturday"": ""10\u202fAM to 8\u202fPM"", ""Sunday"": ""10\u202fAM to 8\u202fPM""}",5,1,ChIJmyE9-dazbTkR32iPZoEpcMU,https://www.google.com/maps/search/?api=1&query=AK%20Skin%2C%20Hair%2C%20Cosmetic%20%26%20Endovascular%20Clinic&query_place_id=ChIJmyE9-dazbTkR32iPZoEpcMU,https://lh3.googleusercontent.com/p/AF1QipP8DLQqU93H_i25vgtk0Wh373GtUHv_KXzFu_Yl=w408-h609-k-no,,jai.akskinhaircosmeticen.19@antidote-temp.com,false,pending,unclaimed
Sakshi Skin & Laser Clinic,sakshi-skin-laser-clinic,,"A-52 Shastri Nagar, near Kanwatia Circle, Major Shaitan Singh Colony, Vidyadhar Nagar, Jaipur, Rajasthan 302016, India",Jaipur,Rajasthan,India,302016,26.9466654,75.7975431,+919001711113,,https://drsakshigupta.in/,"Dermatologist, Cosmetic surgeon, Doctor, Hair transplantation clinic, Laser hair removal service, Permanent make-up clinic, Plastic surgeon, Skin care clinic","{""Monday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Tuesday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Wednesday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Thursday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Friday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Saturday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM"", ""Sunday"": ""10\u202fAM to 2\u202fPM, 5 to 7\u202fPM""}",4.8,204,ChIJu00IQu-zbTkRHhPaNcVVvLU,https://www.google.com/maps/search/?api=1&query=Sakshi%20Skin%20%26%20Laser%20Clinic&query_place_id=ChIJu00IQu-zbTkRHhPaNcVVvLU,https://lh3.googleusercontent.com/p/AF1QipNP5OuFQVtp4yBjbvsbtz-M54v9DN7M9-HmaxyC=w408-h272-k-no,Wheelchair Accessible,jai.sakshiskinlaserclini.20@antidote-temp.com,false,pending,unclaimed
Dr. khushboo Gupta,dr-khushboo-gupta,,"AK Skin Clinic, near Goyal hospital, adjacent to hotel raghuraj, A-4, Shastri Nagar, Jaipur, Rajasthan 302016, India",Jaipur,Rajasthan,India,302016,26.937478,75.7999989,+917408294595,,,"Dermatologist, Cosmetic surgeon, Hair transplantation clinic, Laser hair removal service, Skin care clinic","{""Monday"": ""6 to 8\u202fPM"", ""Tuesday"": ""6 to 8\u202fPM"", ""Wednesday"": ""6 to 8\u202fPM"", ""Thursday"": ""6 to 8\u202fPM"", ""Friday"": ""6 to 8\u202fPM"", ""Saturday"": ""6 to 8\u202fPM"", ""Sunday"": ""Closed""}",4.9,43,ChIJR6ujkMuzbTkRHXpDFO_XUfE,https://www.google.com/maps/search/?api=1&query=Dr.%20khushboo%20Gupta&query_place_id=ChIJR6ujkMuzbTkRHXpDFO_XUfE,https://lh3.googleusercontent.com/p/AF1QipMtBEKCyrM27J2homuds15X6e-F98tA4EgWkCC9=w408-h364-k-no,"Digital Payments, Appointment Required",jai.drkhushboogupta.21@antidote-temp.com,false,pending,unclaimed
Shyam Dental Clinic & Implant Center,shyam-dental-clinic-implant-center,,"Subash Nagar Shopping Centre, A-25, Shastri Nagar, Jaipur, Rajasthan 302016, India",Jaipur,Rajasthan,India,302016,26.9365881,75.7961218,+919829506983,,,"Dental clinic, Dental hygienist, Dental implants periodontist, Endodontist, Oral surgeon, Orthodontist, Pediatric dentist, Teeth whitening service","{""Monday"": ""10:30\u202fAM to 9\u202fPM"", ""Tuesday"": ""10:30\u202fAM to 9\u202fPM"", ""Wednesday"": ""10:30\u202fAM to 9\u202fPM"", ""Thursday"": ""10:30\u202fAM to 9\u202fPM"", ""Friday"": ""10:30\u202fAM to 9\u202fPM"", ""Saturday"": ""10:30\u202fAM to 9\u202fPM"", ""Sunday"": ""10:30\u202fAM to 9\u202fPM""}",5,123,ChIJx6Q2G-azbTkRO9VRBVKFlg0,https://www.google.com/maps/search/?api=1&query=Shyam%20Dental%20Clinic%20%26%20Implant%20Center&query_place_id=ChIJx6Q2G-azbTkRO9VRBVKFlg0,https://lh3.googleusercontent.com/p/AF1QipMrddLk7_STzhld8TlqSxFCFjLpppnpZ19GHurx=w408-h544-k-no,"Digital Payments, Appointment Required",jai.shyamdentalclinicimp.22@antidote-temp.com,false,pending,unclaimed
